,,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,561,566,576,611,613,701,732,742,764,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,953,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1037,1038,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,(blank)
RecipientName,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,Arab Bank for Economic Development in Africa,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,International Investment Bank,UN Institute for Disarmament Research,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,IKEA Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Laudes Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation,Jacobs Foundation,Arcadia Fund,Margaret A. Cargill Foundation,La Caixa Banking Foundation,
Afghanistan,625,3.369861,2.2527253,84.74429725,10.61977696,409.2264185,38.45912719,67.0958086,79.5494957,1.6480975,137.9357877,31.38211129,405.8883786,26.03791002,0.5729508,1.85509,1.247281,,,0.00120116,0.79116826,32.9377184,0.0658234,0.49551,1.5176282,0.34676,,0.04,0.0393207,0.8017478,0.13986476,1.3142275,,,2,,117.0712469,1443.156293,0.01946,0,1,13.309332,4.81738136,,0.212124,131.443634,,26.071902,0.0061724,60.87519154,1.0963412,1.9866,,,379.9307592,,,,,207.5871942,415.5109649,,,3.815149719,0.48485372,1.537182,0.107909,0.21149879,,89.149,7.35011,163.152,,5.06568,20.07175,,5.100240609,0.616924,,15.3503,,,,,,0.239939,,15.999996,,,,,,48.7820062,20.18742,,4.8492964,,2.5106,,,,,0.2959357,,,,,,,,,,,,,,,,,,,,,,,,,,0.1118043,0.0100949,,,
"Africa, regional",298,5.9379786,2.9559763,102.3712744,246.8720077,973.2160914,49.55045912,53.9805583,108.1341581,4.3196203,119.8750018,24.68271706,1196.22778,41.2683265,,1.4765037,9.046247944,,,0.0839584,2.71674888,0.4788686,,,,,,,,0.3188821,0.0405476,0.1992614,,0.00335939,,,267.7163151,2.9,,,1,,1276.541954,,,111.9187787,,130.948659,,9.47109572,4.7129672,0.815352,,,27.58339201,,,380.4627597,312.4339284,,761.8363919,,,50.24779737,47.82255846,13.374066,8.83199,28.721235,,,13.72423,,,,2.097386,6.75563715,,,,,,,2.1,,,5.089521,,,0.734468,,,,,,24.5551208,,162.0852939,12.6150787,,,,0.200934,,,,1.2967904,,,,,44.2850193,,1.372,0.05,,,3.191519,3.441687,1.0964448,,0.779,6.90352,9.19144583,,,0.45,,,,,0.5,,1.1821289,
Albania,71,10.56514622,0.03241917,1.720564,5.447109272,64.41952155,19.09830613,0.11195566,1.3606712,,13.74863842,30.67291154,3.520372,0.0755626,,0.3568797,0.1896476,0.00793686,1.655576506,0.00398603,0.57017391,9.2454739,0.32320324,0.1661102,0.15206123,0.51255,,0.57,0.72035066,0.285072908,1.56352368,0.00223889,0.2064816,0.07021765,,,0.08186486,17.072347,0.18064,10.6337,0.0254551,4.372287,10.3975,0.550809,,5.325607489,,0.382802,0.00840401,0.04335499,0.8131347,,97.7657891,,0.3596651,,,,,,79.5742242,,,0.382119687,0.35918344,0.44238,0.157039,4.8343,,,0.53809,2.607,,,0.0684928,,0.7833045,18.495287,2.67358,,38.91457,,,15.840135,,0.1525,,,,,0.06436806,,,,3.2967,,,,,,,,,,,0.7275827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,130,0.29770155,8.56798801,0.134326,127.1847298,14.84924128,0.682221395,0.8058349,1.13654,0.187952506,1.65793874,2.20412514,10.83025391,0.145809,,0.0279861,0.171780037,,,0.000308967,8.768703384,1.8676403,,,0.00751373,,,,1.41577132,0.13376693,0.0623825,,,,,,0.546831425,2.045745,0.03231,,0.1972769,0.911762,0.0367547,,,0.459797633,,4.605147,0.0160083,0.0572588,0.4972564,0.0267901,,,,,,0.7439167,,,52.00178161,,,0.99398346,0.27689159,0.39302,0.290019,,,,0.35164,3.624,,2.2417,4.82035,0.20589593,0.70454518,,,,,,,,,,,,,,,,,,2.49392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1225,,,,,,,,,,,,
"America, regional",498,28.9260602,0.0135677,4.122402,115.8420987,309.579087,6.4578075,1.868631,62.8302101,1.208432516,0.226843,17.34704737,8.511468656,13.4248,,0.0747845,,,,,24.6968233,1.0425213,,,0.01003,,,,,,,0.111944,,0.0111944,,,166.3008915,158.464191,,,,,,,,13.03645941,,111.059841,,0.0438417,6.669513,,,,,,182.2897186,,,,57.0616356,,,29.31649918,33.09226,10.567117,,11.94378,,,1.11717,,,,1.10514,,,,,,,,,,,3,,,0.365387,,,,,,7.976489,,0.55229,0.0746297,,,,0.75864,,,,,1.809,,,,,,,,,,1.23129,,1.3612226,0.03,,2.031199,0.6790523,,,3.42,,,,,,,,
Angola,225,0.0111944,,0.0712366,17.00534036,4.25297498,1.92076669,0.3450233,5.355469203,7.138616749,0.78987631,0.0527923,1.41992063,,,0.482869,0.0559722,,,,0.35729894,0.1214524,,,0.0177251,,,,0.4432347,0.41947123,0.11300515,,,,0.231818,,0.0174452,46.686932,,,,0.266667,,,,8.71044198,,0.766459,,0.0216733,0.08803647,,612.570562,,23.951384,,,14.125378,7.5328721,,40.14633748,,,2.16661827,0.31276012,0.28593,0.3113047,0.4226,,,1.90224,26.966,,0.48176,10.09156,1.21578808,3.284998704,,,6.95492,,,,,,,,6.342733,,,,,,8.55693,18.588,,0.2411917,,,,,,,,,,,,,,,,,,,,,0.0214286,,0.01945,,0.015917,,,,,,,,,,,,
Antigua and Barbuda,377,,,,0.02462777,,0.498519,,,,,,0.329043552,,,,,,,,,,,,,,,,0.000409461,,,,,,,,0.04243227,0,0.00682,0,,,5.05309,0.002941,,1.93145104,,,,0.0176892,0.2393367,0.0105546,0.005,,,8.30335,,,,,4.4255404,,,0.110113471,0.06298678,0.43606,0.096555,,,,,,,,,,,,,,,,5.717755,,,1.568303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,425,0.3331558,,0.1355893,118.7307802,41.25740616,2.308667925,0.17537863,,0.12330233,0.00414556,0.583599546,5.7465671,0.0836745,,0.00447778,0.180327,,0.00134333,,1.51311794,0.04485,,,0.0171964,0.00179,,,0.1261634,0.041463742,0.00806356,,,0.009515282,,,0.96640246,44.263054,4.17807,9.12546,,0.0133333,0.06700228,,,4.564802734,,0.358884,0.0715051,0.154778086,1.067149,0.0882363,760.6682384,,,,1183.639802,,,,21.39315093,,,0.64760134,0.08316042,2.42678,0.672696,3.5850476,,183.54,0.4,10.401,,,,0.67466361,0.263399344,,,2.05701,,,1.944354,,,49.13673,,,,,,,,,,,0.382384,,,,0.004,,,,,,,,,,,,,,,,0.675147,,,,,0.136125,0.00921644,1.1,,0.475,,,,0.2248435,15.1,,,
