Row Labels,Regional,Australia,Austria,Belgium,Bulgaria,Canada,Chinese Taipei,Cyprus,Czech Republic,Denmark,Estonia,EU Institutions,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Kuwait (KFAED),Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Saudi Arabia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Turkey,United Arab Emirates,United Kingdom,United States,AfDB,AfDF,Arab Fund (AFESD),AsDB Special Funds,BADEA,Bill & Melinda Gates Foundation,CarDB,GAVI,GEF,Global Fund,IAEA,IDA,IDB Sp.Fund,IFAD,IMF (Concessional Trust Funds),Isl.Dev Bank,Nordic Dev.Fund,OFID,OSCE,UNAIDS,UNDP,UNECE,UNFPA,UNHCR,UNICEF,UNPBF,UNRWA,WFP,WHO
Afghanistan,,226.68,1.29,11.79,,101.59,,,12.7,83.24,3.28,256.6,33.72,67.93,515.54,0.77,1.83,0.91,7.18,,47.5,873.58,78.5,,0.27,,17.31,3.02,,68.5,15.87,126.08,9.07,2.36,0.29,0.45,,0.82,0.44,31.19,107.99,28.36,0.02,151.75,96.84,440.28,2946.9,,,,234.3,,17.98,,16,0.24,18.43,0.43,171.85,,6.59,18.38,9.06,,0.09,,,14.41,,6.16,,34.22,,,9.26,1.71
Albania,,0.02,9.08,0.01,,0.01,,,0.42,1.58,,129.13,0.33,4.21,37.74,39.24,0.03,,0.07,0.06,32.52,3.57,0.05,4.66,,,,0.16,,,,1.55,0.1,0,0.82,0.09,,0.04,0.62,0.05,12.15,11.26,,7.89,17.91,1.02,21.82,,,,,,,,0.28,1.6,0.23,0.43,27.7,,2.25,,7.65,,10.01,3.31,,0.51,0.02,0.66,,0.72,,,,0.01
Algeria,,0.06,0.25,7.28,,1.04,,,0.28,,,60.39,0.16,134.89,9.56,0.06,,,0.01,,0.85,3,2.44,,,,,0,,0.15,,0.21,0.01,0.02,0.06,0.05,,,,2.01,2.62,2.47,,1.1,5.43,3.77,10.74,0.22,,0.19,,,,,,0.16,,0.64,,,,,,,,,0.23,0.72,,0.46,,0.72,,,0.45,0.05
Angola,,0.19,0.04,0.14,,0.2,,,0.46,0.01,,26.51,1.86,5.31,4.83,0.02,,,0.57,0.02,1.35,13.79,8.47,,,,,,,0.36,,12.13,0.2,29.46,0.5,0.4,,,,5.91,1.34,0.42,,0.01,,0.56,80.2,,3.23,,,,4.53,,16.24,0.06,13.82,0.2,46.37,,0.53,,,,2.79,,0.51,2.64,,2.72,,7.19,,,,1.59
Anguilla,,,,,,,,,,,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,0.14,,,,0.06,,,,,,0.35,0.02,0.15,0.01,0.05,,,,0.01,,0.8,0.27,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,0.17,,,,,,,0.76,,0.33,,,,,,,,,,,,,,,,,,,,
Argentina,,1.38,0.24,0.13,,1.07,,,0.02,,,109.06,0.11,12.2,21.41,0.34,,,0.05,2.67,3.49,11.57,0.03,,,,,0.09,,0.03,0.19,0.05,0.02,0.08,,0.01,,,,2.31,0.18,0.39,0.02,0.07,0.02,3.24,9.69,,,,,,0,,,6.56,1.01,0.4,,5.86,,,,,,,0.65,0.32,,0.75,0.09,0.57,,,,
Armenia,,,2.89,0.2,,0.06,,,0.51,1.57,,43.46,0.2,8.24,48.44,1.29,,,0.03,0.12,0.67,3.53,0.13,,0.01,,0.01,0.12,,0.26,,3.25,0.46,,0.12,5.79,,0.12,,0.01,0.69,3.85,,1.22,1.49,1.32,58.46,,,,20.76,,,,0.67,1.44,6.69,0.47,64.92,,2.52,49.01,,,3.35,3.1,0.37,0.86,,0.6,,0.69,,,0,0.04
Azerbaijan,,0.61,0.93,,,0.01,,,0.16,,0.01,26.19,0.34,2.82,22.6,0.16,0.04,,0.01,0.45,0.03,171.38,6.2,,0.01,,0.01,0.1,,,,3.01,0.43,,0.06,1.73,,0.03,,,1.03,4.91,,19.36,52.71,2.12,31.95,,,,2.26,,0.06,,-0.03,0.28,4.58,0.26,39.55,,5.54,,0.36,,,2.85,0.23,0.88,,0.71,0.01,0.78,,,,0.04
Bangladesh,,120.85,0.53,1.7,,35.35,,,0.01,62.4,,128.21,0.77,5.28,81.63,0.17,0.01,,1.77,,0.72,449.5,48.51,8.26,,,,1.4,,66.54,0.54,17.96,0.01,,,0.14,,,,0.62,42.79,32.66,0.11,1.68,0.12,310.81,215.65,,,,356.83,,33.2,,26.39,1.7,28.77,0.44,703.93,,25.67,140.03,9.17,,7.88,,0.39,15.19,,5.55,1.17,14.37,,,10.36,3.5
