Row Labels,Agriculture and food security,Banking and business,Debt relief,Education,Environment,General Budget Support,Governance and security,Health,Humanitarian,Industry and trade,Infrastructure,Other,Other social services,Water and sanitation,Grand Total
Afghanistan,356.5473624,279.3424877,1.253884182,345.7507136,4.730970903,23.52163817,2765.742795,339.5451105,498.7486133,108.1815166,801.1450193,853.892807,98.380992,71.40179487,6548.185705
"Africa, regional",151.6185878,287.0879837,8.248452063,62.37064341,85.29571587,92.32063408,209.5757691,198.5387279,83.14643474,87.33287709,218.5671007,336.3053274,36.23890547,80.17479037,1936.82195
Albania,12.83997757,6.923081535,,74.33896669,4.621085132,0.1361285053,58.000646,11.05744505,4.446224949,19.43220805,105.8530157,28.47307334,16.04136249,40.84366958,383.0068846
Algeria,3.036037006,6.517198916,,131.082938,2.761480651,,20.84019087,3.142309347,31.41157586,11.14146776,7.778729324,17.94231982,11.74495919,3.645776657,251.0449834
"America, regional",10.32504645,48.79629699,,47.89639855,39.04186963,,53.74986272,77.86749049,65.46254607,19.0598402,21.16018721,731.3884562,20.47219862,4.954694045,1140.174887
Angola,18.62735784,3.644553105,,26.87510476,2.100132286,,38.25271466,97.18863847,6.52988679,3.140398003,14.52706632,37.64385001,16.68513116,26.14580048,291.3606339
Anguilla,,,,0.009959724291,,4.627249357,0.2786068722,,,,,0.2653215322,0.01277610521,0.01426556806,5.208179159
Antigua and Barbuda,0.3191561338,,0.108555,0.4543662375,0.08312975578,,0.152893,0.1531711684,,0.03344041617,0.2418707584,0.809479368,0.001290506881,0.01168973709,2.369042082
Argentina,3.665521895,2.020637503,,36.68905218,9.291235162,,14.28897541,4.143994611,0.6043028278,106.3374751,1.709744043,7.36857111,5.985351231,1.01215572,193.1170168
Armenia,25.93365269,30.94370762,,32.47366124,2.665346942,49.01401,50.61909758,20.26197132,5.731955024,9.853469417,45.7204957,8.411963082,14.6121702,17.90287132,314.1443721
"Asia, regional",59.14255289,94.39990395,,59.26475608,31.23238579,,94.94927005,87.25159792,28.7216667,61.79895904,51.01232544,272.4169364,21.0940138,13.85663625,875.1410043
Azerbaijan,14.35512321,10.29158207,,19.18595435,1.345637844,,38.76672511,19.53791937,1.694376823,3.281763867,222.5747194,11.43033071,6.995869552,30.32700156,379.7870039
Bangladesh,181.7605222,107.9494229,4.155957268,476.3535035,73.11300011,140.03148,226.3901658,369.1523325,106.3645365,71.04338265,663.6444735,299.7831896,72.54253425,167.8881069,2960.172608
Belarus,0.7584049356,0.44917206,,22.92807917,6.640058004,,27.66890688,14.49273483,0.116825868,0.1692501671,4.043652238,4.681723298,4.562984853,0.2685914927,86.78038379
Belize,6.002541743,,0.042319,2.505888925,2.020778775,,2.378533224,2.25995252,0.1017854995,2.390821987,6.150123397,2.623099412,0.8979436894,0.5814415212,27.95522969
Benin,54.02835457,5.82122559,6.890875476,56.28084675,11.67561374,55.24870912,75.24416085,82.13632118,4.987512685,3.79625936,92.34895117,41.114407,6.698051247,42.45568429,538.726973
Bhutan,4.082160162,17.99943432,,4.206769618,6.275738506,2.570694087,24.28662416,6.671553998,5.981946626,5.949373643,55.80698565,29.19214708,4.148216351,1.603018603,168.7746628
"Bilateral, unspecified",1332.222707,736.7389292,140.6893013,1232.776414,1093.807238,59.13865296,2352.313954,3550.737558,1218.498318,421.6714969,597.8014045,14121.41899,452.8622598,203.5011553,27514.17837
Bolivia,102.1662792,7.450220009,-0.1605200043,51.83174779,32.56185872,0.3772431877,83.81595042,54.99243033,5.138164794,16.72840964,83.81608267,53.58943855,53.71359648,139.8355026,685.8564044
Bosnia-Herzegovina,18.08513405,127.1672191,1.306377802,37.27598179,5.298021233,0.1089028042,116.5577909,27.27125452,1.454145937,17.43329739,154.6594395,32.43990899,29.22688651,40.99012871,609.2744892
Botswana,1.646824127,1.585592106,1.273482342,3.013226001,2.776321017,,4.675999217,54.23963524,0.1087041109,1.609381553,9.79289351,5.200190213,2.638081384,0.7721059807,89.3324368
Brazil,123.327522,21.66252652,6.508458,131.0931706,96.52327703,,34.15882502,15.33610118,2.222324772,12.05576078,740.5537411,43.45141122,410.8632957,16.40374651,1654.160161
Burkina Faso,194.0039611,12.9666848,21.15505008,75.30694068,8.675212216,249.2056589,113.4198629,140.593963,76.00717046,12.9036644,108.7521097,79.80831836,29.2157826,97.68192272,1219.696302
Burundi,68.60352456,17.24684447,2.602149498,28.76289421,4.260428023,15.62736335,93.10565287,90.22376106,38.41466363,4.965370109,93.06005398,35.03665902,14.96143323,22.31121089,529.1820089
Cambodia,69.89325452,38.9249763,0,71.76711818,40.71354817,,139.647531,152.5931617,18.86613949,26.32292324,148.6350082,55.71482036,30.93285735,58.77156886,852.7829074
Cameroon,38.80895958,1.426727298,1.963323046,111.9582866,9.047417524,0.003856041131,51.65243236,92.23161363,28.56432717,8.655130292,163.4433597,150.6319242,7.236316217,19.68807136,685.311745
Cape Verde,6.107459345,4.149349999,1.03016081,26.0846261,5.230856361,1.95856045,8.502498167,16.1750709,2.200079374,0.9781299612,66.61398082,85.28352508,25.89891278,15.2382073,265.4514174
Central African Rep.,8.644416777,1.243599909,5.715198817,8.524831267,1.596312614,29.74833459,18.08143634,27.60455843,60.24586441,7.29483767,45.07767309,10.91773203,2.110457977,6.729106286,233.5343602
"Central Asia, regional",1.131257559,12.28860213,,22.24170197,30.53777162,,47.39861075,23.682927,2.922369744,7.689297163,6.494654291,16.35491765,4.938331092,7.012150422,182.6925914
Chad,41.01999241,1.379838233,5.616027416,17.57227095,7.001183558,,35.56450309,42.69624621,278.8086344,1.30120837,22.60192062,46.4632752,4.691696977,24.59206059,529.308858
Chile,2.265019184,1.498768691,,28.4632069,10.86090408,,14.23684084,2.174175126,3.979421138,2.960203177,56.70823506,7.442981045,3.400575759,8.337481086,142.3278121
China,87.49882808,96.25919495,,543.1757133,510.1762197,,73.90196686,239.0204845,10.34089277,32.10352495,326.7697164,121.1736518,32.80939106,229.5715182,2302.801103
Colombia,102.5050509,3.504043421,0.014486,64.44933875,29.02607984,,337.2045028,10.63956261,69.32259541,12.86008036,8.914061963,33.59704498,29.05977246,102.4477666,803.5443861
Comoros,7.856165771,0.8135127506,43.634016,11.69570483,1.066528407,5.043467011,8.071085679,14.30670802,2.153815773,0.4045167095,5.911995433,4.173593539,3.983881419,2.877512054,111.9925034
"Congo, Dem. Rep.",152.9646521,28.98852242,646.5165414,115.7031156,35.33786119,0,274.0737142,566.6118005,415.197522,66.52016256,326.3343693,79.41981379,56.86270579,100.2887839,2864.819565
