Row Labels,AfDB,AfDF,Arab Fund (AFESD),AsDB,AsDB Special Funds,Australia,Austria,BADEA,Belgium,Bill & Melinda Gates Foundation,Canada,Czech Republic,Denmark,EBRD,Estonia,EU Institutions,Finland,France,GAVI,GEF,Germany,GGGI,Global Fund,Greece,IBRD,Iceland,IDA,IDB,IDB Sp.Fund,IFAD,IMF (Concessional Trust Funds),Ireland,Isl.Dev Bank,Italy,Japan,Korea,Kuwait (KFAED),Luxembourg,Netherlands,New Zealand,Nordic Dev.Fund,Norway,OFID,OSCE,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,UNAIDS,UNDP,UNECE,UNFPA,UNHCR,UNICEF,United Arab Emirates,United Kingdom,United States,UNPBF,UNRWA,WFP,WHO,(blank),Grand Total
Afghanistan,,,,,170.197,112.076173,1.591130045,,5.749881837,11.07023198,124.5857564,3.789330101,60.2798591,,2.407063197,250.1430828,34.40696076,54.39763138,32.57096795,0.5440111,549.3797138,,34.98844032,0.4234731811,,0.7459030028,185.3152352,,,,0,4.865784652,,59.46959043,831.0344476,122.409044,,4.126788317,79.94841205,7.426354282,,127.3150961,0.02,,3.521039514,0.2322012746,2.39841,0.3089472384,19.22873052,127.7588193,27.8268634,,13.192883,,6.352995,,33.37878104,59.64261173,333.8769807,1722.11808,,,5.21173,1.28304955,,5227.609485
"Africa, regional",199.9732016,163.25836,,,,6.453450316,6.139777297,,32.73816877,228.1332664,110.6565152,,97.48470108,,0.05974508763,381.7656532,42.70024114,316.3752521,,24.64605495,539.2152425,,,,,,10.21570695,,,,,4.905066383,,4.034012215,146.7155593,230.981228,0.05727,6.838881386,16.96790741,0.2756699008,,103.9965611,82.607181,,,0.09012081784,,0.004226925119,20.25838163,87.48179082,24.05570889,3.64482727,0.33366,,,,,8.524571195,247.1384036,42.775,,,,54.04089006,,3245.542255
Albania,,,,,,0.01118709559,10.11249783,,0.0004301646309,0.0020292,0.03088720637,0.221440908,1.030690012,50.64455804,0.06505576208,100.0179368,0.4369065321,36.38765364,0.15966921,0.83455198,44.88926177,,0.180595,2.335025491,7.739267996,,15.12546292,,,,0,0.07294636219,,9.490431824,2.974458055,0,7.24485442,0.01495870951,,,,1.779117047,13.452438,3.318866171,0.1350695882,0.0009306956984,0.03423,0.2578681736,0.07094537759,11.68026623,28.35441951,,0.434682,0.000852,0.547233,,0.9755560095,28.05336237,1.193721951,23.67335,,,,0.03328856,,404.0189536
Algeria,0.47295,,0.02464788732,,,0.07434231407,0.1977330589,,10.43343732,,0.356008542,0.09980944346,0.1122256049,,,67.53250133,0.2001046933,149.9600978,,0.34924575,8.04676937,,,0.02410793946,,,,,,,,,,0.4224548593,2.412936603,4.387907,,,0.0785899761,,,0.1148237496,,,,0.01881173659,,,7.650605412,1.378437634,2.641674579,0.2183499,1.262043,,0.556673,,1.34055874,50.28811514,5.220211554,8.04063,,,,0.79559691,,324.7124008
"America, regional",,,,,,2.874098138,2.407824194,,18.71488156,0.2522,118.3339805,,0.4557164984,,,51.93433351,2.118541977,240.8478715,,8.92966366,730.6556024,,12.99096123,,,,,,837,,,,,3.41330786,4.994579451,90.38734,,0.007897411046,3.991700107,,,11.41721395,,,,1.507904939,,,15.54014182,5.678264141,11.93451338,,,,8.91904,0.146465,0.5269227701,,0.1483463321,170.39064,,,,43.32511544,,2399.845068
Angola,,2.23146,,,,0.2302630115,0.01898665693,,0.7204620287,2.000999651,0.5432527665,0.1980698418,2.837428119,,,33.16026288,0.9520856745,9.655786816,4.642742,0.21543285,4.15858114,,38.16397526,0.005412904939,,,59.03150195,,,,,0.742960701,,1.333254209,15.16917778,10.771605,,,0.1156973447,,,10.21740655,,,40.88119425,18.23368826,,,6.866052402,1.254487809,1.226771688,0.76320927,1.513174,,3.572,0.031714,7.237629491,,0.8415333396,64.69935,,,,1.50358936,,345.741199
Anguilla,,,,,,,,,,,,,,,,5.058417419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.821394342,0.02,,,,,,7.899811761
Antigua and Barbuda,,,,,,0.05089954374,,,,,0.05399961173,,,,,1.09571163,0.02323420074,0.00623605948,,0.36055328,0.0048567,,,0.01082580988,1.489569031,,,,,,,,,0.01021242698,0.3537518829,0.121868,,,,,,,,,,,,,,,,,,,,,,,0.03126110069,0.23725,,,,,,3.850229277
Argentina,,,,,,2.089090059,0.2472294031,,0.03614883165,1.1,2.209225393,0.01098340875,,,,7.950438131,0.1100489113,12.84848903,,7.00573757,19.87007699,,1.488035,0.08974508763,1155.767218,,,1181.54353,6.01911,,,0.1398154541,,2.020652297,7.664772612,3,,0.1577072889,,0.1423685159,,0.0007337529772,,,0.02171604001,0.1214630908,0.00066,,1.752760416,,0.2196342253,0.82037154,0.364244,,0.70869,,0.7761045707,0.005017832834,2.075954432,3.73259,,,,,,2422.110362
Armenia,,,,38.68118,21.67,,2.864596583,,0.5062299584,,0.0860036886,1.132278691,2.859349463,67.42112974,0.1221455125,74.94164896,0.1095326606,26.22415974,0.80322567,1.38607297,38.19262392,,7.650284,0.3525065587,75.64317921,,56.14555922,,,,40.431984,,,0.1064209639,3.962687717,,,,0.183186325,,,2.96702671,4.65662,3.285037175,0.5456840857,,0.0697,0.002845685077,0.06671707374,0.07719861205,4.492526975,0.05564638,0.938781,,0.595045,,0.6920890196,1.557310101,1.296433379,51.73412,,,,0.12517029,,534.633937
"Asia, regional",,,,61.80855,54.76194723,61.26575071,0.0966330324,,4.447681083,44.29949435,357.8435033,,13.60143486,,,76.15431492,24.849034,56.30904831,,6.19247757,485.9030104,,,,,,,,,,,0.03451938396,,0.06718003186,90.83123168,448.087031,,0.6139478226,3.744876527,0.0282544948,,31.23790834,0.274042,,,,0.0064,,0.05357348646,47.41095314,10.43018451,3.86169471,,,10.975627,0.146772,0.56807554,,92.4015397,37.34219,,,,,,2025.648881
Azerbaijan,,,,196.547,1.92,0.005543251664,0.7467220127,,0.0759383992,,0.1408903126,0.1555269024,0.02060494757,54.75311567,0.05974508763,17.38215613,0.4776654408,9.134006942,2.814944,0.82586249,20.91278078,,10.27920145,0.0233669676,260.828298,,95.00435171,,,,0,,,0.02107673925,55.95725678,63.53096,,0.009094158258,0.06452469464,,,2.016284621,10,2.94795539,0.2956817244,,0.03842,0.004449933617,0.04760344272,0.8706933612,5.684823047,0.10083179,1.102744,,0.726736,,1.06481364,0,4.325400319,35.16677,,,,0.22325437,,856.3070945
