donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,613,701,732,742,764,765,801,807,811,812,820,901,903,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,953,958,959,963,964,966,967,971,974,976,978,988,990,1011,1013,1311,1312,1313,1601
donor_name,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund [NDF],Canada,United States,Israel,Kuwait [KFAED],Saudi Arabia,United Arab Emirates,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Timor Leste,Australia,United Nations Environment Programme [UNEP],Global Environment Facility [GEF],Montreal Protocol,New Zealand,International Bank for Reconstruction and Development [IBRD],International Finance Corporation [IFC],International Development Association [IDA],Caribbean Development Bank [CarDB],Inter-American Development Bank [IDB],IDB Special Fund,African Development Bank [AfDB],African Development Fund [AfDF],Asian Development Bank [AsDB],AsDB Special Funds,EU Institutions,Arab Fund [AFESD],UN Peacebuilding Fund [UNPBF],World Health Organisation [WHO],International Labour Organisation [ILO],International Atomic Energy Agency [IAEA],UNECE,OPEC Fund for International Development [OFID],Arab Bank for Economic Development in Africa [BADEA],IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank [IsDB],OSCE,IFAD,European Bank for Reconstruction and Development [EBRD],Climate Investment Funds [CIF],Council of Europe Development Bank [CEB],Global Alliance for Vaccines and Immunization [GAVI],Global Fund,Global Green Growth Institute [GGGI],Bill & Melinda Gates Foundation
Afghanistan,0.57443067,0.45902725,87.99200986,21.36092178,362.0666401,103.5730313,55.4414805,85.8983351,0.6747096,103.6870632,34.99590898,458.2933574,29.24900268,0.626385,2.7570576,1.1557174,,0.2903823,,0.9112924,56.78,0.1218051,,3.72217831,0.29162521,,0.03,0.1560275,0.55028928,0.2381064,1.65280079,0.115091,,2.56423,,148.0837624,1642.627142,,0.0311493,,56.7676455,8.18952,317.2026047,,54.599066,0.0162897,,204.5345349,,4.95008,,3.5803617,,,137.2553673,,,,,,,125.93217,192.2828068,,,3.2140473,0.3505,0.0596007,,0.15,,,8.38914126,35.92969916,,2.786071,,,6.24091877,6.31474,,8.85351,,,,21.285,23.25814,,3.9003172
"Africa, regional",5.012621,9.1134528,38.30710615,198.0577287,654.6632121,17.3434124,15.161055,63.07917983,0.890358582,85.87982273,37.45707966,362.7367623,66.03316547,,3.34651973,6.1259694,,,,2.526994375,32.47,0.2410991,,1.22890952,,,,,0.0291762,,0.1996668,,0.0109356,0.411345,,123.7518072,75.349996,,0.03022,1141.17,1.1551865,,371.10244,,202.355873,,,10.91053286,,5.042934,,0.69968353,,,36.2922913,,,,262.72515,73.84307,,,550.3259058,,,47.53481401,14.12866,8.8446,,5.5,,,9.892781,,,,,4.755452,,,,,,,,,4.95701,,100.0537415
Albania,10.28303092,0.021063777,2.60061233,4.05579377,79.82445328,25.68077056,,1.80494117,,9.470572493,22.6138198,1.007953929,0.365441504,,,,,1.589949461,0.00139545,0.10133713,85.73,0.0729936,,0.28434382,0.34824169,,0.17,0.03971707,0.11179005,0.736136653,0.00887409,,,,,0.2173198,16.298413,0.006443,0.8098797,,9.7299977,,15.50357416,,0,,,0.1234804,,1.9603027,,,23.5614857,,5.7139568,,,,,,,,111.8475273,,,0.25681685,0.25212,0.274509,,2.76498372,,,0.53617933,0.97353475,,,,,0.46029475,21.1331,2.945514,0.491632,18.3640017,,2.042151,,,,
Algeria,0.118780355,3.0769933,0.0311758,97.60027934,6.96486211,1.24435125,0.0141109,0.735054,0.17794432,1.5472618,3.8738105,4.087956568,0.147057,,,,,0.1370559,,2.04774762,1.59,,,,,,,0.72396546,0.00238714,0.086277,,,,,,0.07823666,4.875917,,,,0.0906193,,1.439013719,,315.374801,,,0.031377288,,0.7071977,,,0,,,,,,0.01854,,,,48.36191535,0.099734,,1.2564977,0.32911,0.394487,,,,,0.99487906,1.50497754,,0.811232,4.04169,0.197423,0.38189758,,,,,,,,,,
"America, regional",3.1866767,2.565436,11.3302,238.998824,514.251536,9.74249969,3.13306168,298.4146332,1.6446989,3.51677684,14.7915382,3.532158633,3.3597367,,,,,,,15.34142519,16.85,,,,,,,,,,0.103161,,,0.308508,,107.5385652,107.55681,,,,,,11.02909154,,181.568922,,,0.770787,,10.785134,,,,,,,,791,,,,,41.78561002,,,61.4965963,12.97759,5.59733,,0.3,,,0.667724,1.77210399,,,0.418164,,,,,,,,,,3.8973,,0.0648072
Angola,0.00982209,0,,4.980944852,2.22817192,1.92954449,,6.5978276,8.52860307,1.22446526,0.2522601,1.98103148,0.5262469,,0.6760532,,,0,,0.09908203,0.08,,,0.00628156,,,,0.102582,14.80219,0.20916,,,,0.055591,,0.05499495,73.541904,0.01348,,,,,197.303181,,13.614767,,,0.049552962,,4.835967,,,450,,53.40000512,,,,,13.63754,,,26.90253079,,,3.23796874,0.63388,0.217948,,0.941414,,,2.77945677,7.741660922,,,2.77607,1.060262,2.49655399,,,0.956911,,,,10.39308,2.27239,,1.0292808
Antigua and Barbuda,,,,0.01346199,,0.04082085,,,,,,0.0039264,,,,,,0.0048985,,,,,,,,,,0.00042623,,,,,,,,,0.017912,,,,,,1.530747651,,0.190815,,,0.06175523,,0.623607,,0.0202105,0,,,42.2224963,,,,,,,0.11585168,,,,0.06946,,,,,,0.00021364,,,,,,,,,,,,,,,,
Argentina,0.28405219,0.00691514,,10.49105252,53.01427115,1.719446775,,,0.10822186,0.167071011,0.2229774,2.41355281,0.06431356,,,0.081079,,0.074397066,,1.023337492,0.02,,,0.01955643,,,,0.0274184,0.00226778,0.000763027,,,0.00439356,,,0.641648419,1.174296,2.83409,3.01812,,0.0077281,,42.91153596,,3.12874,0.0684131,,0.3682472484,,5.848109,0.7382,0.115013,572.5408966,,,,917.13247,0.57056,,,,,9.08072433,,,,1.62557,0.515896,,,,,0.45150854,1.38507196,,,,0.846262,0.52686744,,,1.88453,,,,,,,0.631715
