,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,576,611,613,701,732,742,764,801,807,811,820,901,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1016,1019,1020,1021,1022,1023,1311,1312,1313,1601
donor_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,UNEP,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,IDB Special Fund,African Development Bank,African Development Fund,Asian Development Bank,AsDB Special Funds,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Green Climate Fund,IDB Invest,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,World Tourism Organisation,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation
Afghanistan,625,0.88156862,6.98314854,39.00200734,36.61136136,502.843124,30.49984265,63.61996214,82.8514255,0.81301173,114.8613356,33.19282621,352.5502771,33.5200286,0.579461,2.61866346,2.764215,0.00488776,0.0276457,0.49720813,32.689,0.08492694,,2.5902565,0.31095,,0.09,0.2262083,0.51826726,0.1899568,1.37675759,0.0574036,0.0331748,0.039712,,96.32932295,1386.734879,,29.8415,41.42765,,,300.8299761,,51.358707,0.03691,159.0358634,,5.515447,3.4082891,,81.60741698,,,,,,,191.95035,399.8109595,,,2.43047812,0.74607,0.100812,,0.2,6.25484,8.24961268,44.37377778,,12.644549,37.8714,,5.068172,0.93888,,11.6176,,,,,,,,1.75305,,,34.13118,11.04717,,2.62734252
"Africa, regional",298,11.18443521,17.23141983,10.04778809,165.4948509,580.1402478,16.44931447,26.6790006,51.209079,0.356038,88.51676097,40.84803492,455.9239536,39.95823604,,0.31804584,5.8570838,,0.0552914,17.60711317,6.79,0.194312,,0.13864266,,,,1.11504,1.2442998,1.122418,0.5186327,,,2.6367,,43.46484633,2.4,,,0.20801,,,280.025171,,9.916493,,8.029469699,,47.272273,0.7575582,,34.105472,,,,283.80356,456.23195,,,971.5681809,,,39.48292487,10.184,9.83,,5.8828895,,6.91825598,,,,,3.8483197,,,,,,,,,,,,,,0.8091909,,28.72299,,154.8031468
Albania,71,8.60005882,0.112967,1.838614,4.048331288,67.80006658,10.22111527,0.0552914,0.58004538,,10.28604077,21.65639384,0.497041238,0.05851182,,,,0.623859747,0.00257421,0.1814441,10.36,0.648265161,,0.163089836,0.35279,,,0.03017683,0.062025685,0.619904444,,,0.001846622,,,0.08140944,18.043783,,1.7148741,15.529,,,17.88948949,,0.070512,,0.2285958,,1.8771197,,37.7828625,2.614186,,,,,,,,92.76458632,,,0.34642208,0.2657,0.789473,,0.01536,,0.41420718,1.02715173,,,1.29806,,0.4904249,28.54347,2.909222,,6.927721,,,2.565519,,,,,,,,,,0.013267
Algeria,130,0.2090516,3.53961633,,104.9641314,8.72327678,0.66854743,0.05737306,0.6368897,0.19355109,1.74301933,3.1316883,4.39142041,0.13382,,0.026792,0.0552914,0.13704542,,4.428784913,2.9,,,0.0155199,,,,0.886009283,0.00456378,0.0426089,,,,,,0.12522989,3.856226,,,2.91191,,,0.95956381,,2.792096,,0.007173123,,2.008201,,0,,,,,984.40842,,,,56.52341383,0.579145,,1.33388869,0.29493,0.453015,,,,0.3945185,1.08772466,,,2.6721,0.1851476,0.2623539,,,,,,,,,,,,,,,,,
"America, regional",498,65.5480756,1.33647262,1.587834,138.719435,580.6156672,34.05485458,2.786658,39.705172,1.37081391,1.094139,8.31953629,7.47741614,0.31078923,,,,,,13.19685634,3.34,,,,,,,,,,0.11611214,,,,,156.2796869,122.312884,,,,,,16.23066307,,10.409357,,0.0427563,,29.125907,,,,,,,,,,,76.95591123,,,35.72567534,9.2554,,,,,1.64309055,4.03563772,,,,,,,,,,,,,,,,2.454275,,0.0121022,,2.47009,,0.0490332
Angola,225,0.0209718,0,,5.405837187,2.63371106,1.86526716,0.0379627,7.80312,5.191885436,1.46165345,0.7445585,0.6436282,0.362316,,0.555082,,,,0.111496241,0.06,,,,0.01106,,,0.135148,5.929154457,0.114532,,,,5.26377,,0.8254034,54.50806,0.007866,,0.0125,,,4.538947013,,43.303663,,0.016501866,,6.595969,0.0417682,0,58.2572669,,,,399.69334,15.97928,,,43.28254235,,,3.00305917,0.48471,0.259083,,,,2.81624197,9.24359992,,,2.06908,1.2961571,1.6804803,,,2.87605,,,,,,,,,,,3.75798,20.1251,,
Antigua and Barbuda,377,0.00910988,,,0.01150781,0.00583801,,,,,,,0.00192138,,,,,0.00488776,,0.0163475,,,,,,,,0.000422701,,,,,,,,0.00311077,,,,0.06705,,,5.13509802,,0.0766,,0.047506155,,1.728357,,0.488028,,0.66073,,,,,,,0,,,,0.08537,,,,,0.06206304,,,,,,,,,,,,,,,,,,,,,,,
Argentina,425,0.34828491,0.0498728,,10.21343165,17.66414137,1.51169321,0.0979923,,0.11496084,0.1375173,0.31234253,1.35986386,,,0.14417665,0.0618956,0.0615393,,1.101228868,0.01,,,0.00920599,,,,0.0248296,0.00456378,0.00520458,,,0.00641452,,,0.798052995,1.885832,3.14488,4.88049,0.005,,,3.945288166,,2.804394,0.02335,0.169107393,,6.285897,0.142546,937.272701,,,1084.92155,3.74714,,,,,6.79347412,,,,1.42755,0.367919,,,,0.5642645,0.851993,,,2.33364,0.759146,0.1981902,,,0.210388,,,3.57614,,0,,,,,,,,,0.226594
Armenia,610,1.69843488,0.21288411,1.81817,81.99304512,43.80495696,0.593993858,0.2194019,0.2674769,0.001707401,0.59701179,7.29501272,0.59152511,0.219798254,,,,0.05207348,,0.51657213,0.02,,,0.41408547,0.01366,,,0.02255072,0.1676707,0.14778067,,,0.0418691,40.3264,,0.09998495,29.33512,0.16855,0.970338,0.89666,,,4.644353791,,0.148977,,0.0302312,,4.2032738,,135.037162,17.8774573,,,,,,111.33591,24.04102,111.3071495,,,0.34746086,0.1095,0.13405,,18.22347,,0.60869732,0.9809555,,,,,0.4977631,,2.973626,6.264596,38.0702954,,,,0,,,,,,1.10887,4.82025,,0.0754393
"Asia, regional",798,35.80819483,12.4367866,4.200803214,68.00598078,497.8020288,11.2363762,7.715796,21.0179062,0.0237443,28.64034741,29.69626599,93.22769956,28.87032206,,,0.0269771,0.0950459,,0.03826137,0.14,,,,,,,,,,,,0.125787,,,200.0918222,35.716973,,,,,1.12616,74.91470163,,225.963488,0.24116,69.89183065,4.557004,24.005816,4.9707795,,,,,,,,125.38786,67.63039,78.19443893,,,,5.02155,7.90752,,0.325,,4.22037187,,,,,3.6286343,9.1386519,,,,,,,,,,,,,0.94949475,,,,42.7959808
