,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,552,566,576,611,613,701,732,742,764,801,811,820,901,905,906,909,913,914,915,918,921,923,928,932,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1624,1625,1626,1627,1628
recipient_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Kuwait,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,C&A Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,David & Lucile Packard Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust
Afghanistan,625,5.36782127,0.18921775,76.64727122,21.68029139,478.4292069,42.96650804,53.40254,75.22995231,1.94539146,118.7428731,28.88244379,292.2912852,20.62975473,0.51222,1.690140821,2.0092094,,,1.56036069,36.52,0.0732725,0.50444609,2.37500177,0.78088,,0.19,0.23164802,0.6218077,0.0931468,1.36399493,,,0.0418479,,68.45953994,1218.6423,6.836925,0.34155,29.37,,2.51841135,233.6921356,,32.228326,0.0388196,107.7425178,5.3037482,5.33679511,,161.62197,,,,,193.020924,414.8583862,,,5.02986796,,0.64933,0.139127,,0.2,12.4787,7.59526667,45.697,,14.32879,,,3.56038434,1.13175,,14.7515,,,,,,,,9.996908,,,,28.28311,22.749371,,24.33001097,,1.989003,,,,,,,,,,0.0842382,,,,,,0.1,,,0.15,,,0.05,
"Africa, regional",298,26.13998375,5.9171927,38.4184336,219.0460654,623.0383562,22.96422157,31.0496986,76.43366517,2.6603527,85.53873096,22.33051337,412.6432162,48.10610893,,2.71228517,5.61807614,,,17.80820284,0.909717,0.0563634,,0.00923649,,,,,8.2390935,,1.13065181,0.281817,,,,258.3659243,,,,,,,412.281739,,97.945963,,5.65402317,0.8785031,0.493818,,33.75615454,,,431.57543,519.4446,,757.6045098,,,41.86437434,,14.38498,10.0165,,47.83362,,9.80481075,,,,,3.2771,,,,,,,,,,,,,0.752452,,,,54.83907,,130.2706494,,,,,,,,,,,,,,,,0.0583334,2.075,,,0.12,6.9128908,0.221453,,12.187751,12.53694322
Albania,71,9.09115841,0.03855262,2.3921592,4.722302282,52.83883313,7.72018607,0.0826322,0.2408175,,11.486805,22.33420009,0.95911815,0.131698,,0.0202908,0.0631195,0.99363154,0.00312383,0.56381171,6.49,0.175986406,,0.22525236,0.27979,,,0.038192462,0.02702811,0.775763916,0.00225454,0.0563634,0.0112727,,,0.11757564,21.48022,0,0.11385,14.233,,,19.07082062,,0.016338,,0.183769155,1.22455683,,267.4513899,1.864575,,,,,,79.27676481,,,0.3746629,,0.13479,0.153545,,1.49077,,0.36752789,0.817,,,1.04046,0.0055,0.50295629,81.73025,2.926654,,11.0041787,,,10.1228725,,,,,,,0.049318,,0.062455,,,,,,,,,,2.5676243,0.1601066,,,,,,,,,,,,,,,,
Algeria,130,0.34140789,4.68802251,0.0984221,120.4756753,9.4846105,0.9654344,11.83755426,0.616962,0.0496922,1.4186852,2.654543651,8.6401713,0.115773,,,0.0490491,0.101454,,4.38519754,5.22,,,0.01415898,,,,0.89481,0.0169344,0.041752,,,,,,0.56406742,13.87476,,0.49473,1.079,,,0.85235974,,1.013617,0.0106046,0.0114951,0.9101047,,0,,,,2.99387,,,66.2676594,,,1.1098354,,0.30771,0.348856,,,,0.34976205,1.168,,0.68984,0.78326,0.197,0.1980136,0.16398,,,,,,,,,,,,,,,0.638082,,,,,,,,,,0.0612952,,,,,,,,,,,,,,,,,
"America, regional",498,2.0773,15.53202,9.33141,91.12357268,562.3174229,24.49070972,0.970058,34.28781174,1.53614062,0.467209,6.11429889,6.436562469,22.89893051,,,,,,21.70234923,0.084157,,,,,,,,,,0.112727,,,4.82993,,134.2716396,106.93401,,,,,,14.79258653,,8.478252,,0.0803893,,0,,,,0.505,,,,137.2107065,,,21.86833121,,9.11328,7.34932,,9.13156,,1.69204795,2.218,,,,2.6784,,,,,,,,,,,25.75677359,,,,,,9.10271,,0.1347764,,,,0.3,,,0.240854,,,,,,,,,0.0733333,,,,2.398,4.2063335,0.05,0.124375,2.565085,0.46541106
Angola,225,0.0103096,0.0349453,1.102074,5.969947832,2.65302444,2.59576526,0.2242213,7.687888125,4.707090894,1.054504,0.55757274,0.684860018,,,0.4576447,,,,0.560933893,0.03,,,0.1060486,0.00893,,,0.135582,0.04076497,0.13238879,,,,,,0.0156987,59.2837,,,,,,3.706883538,,15.729539,,,1.92461779,,14.640627,70.10254,,,121.64792,11.80404,,39.79432045,,,2.08299722,,0.22179,0.255822,,,,1.70516666,7.204,,0.12006,0.17216,1.2809,1.84505719,,,1.23341,,,,,,,,10.545506,,,,10.46287,29.055316,,3.71191,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,377,,,,0.005258704,0.0254519,,,,0.0225454,,0.10663149,0.009638046,,,,0.0306432,0.00498253,0.0281817,0.0281817,,,,,,,,0.000433553,,,,,,,,0.07089667,0.00901,,,1.45,,0.05,2.217045494,,0.05,,0.366594795,0.04597414,,0.2509264,,34.9295,,,,,2.480196,,,0.070918445,,0.09344,,,,,0.08102,,,,,,,,,,,,1.571,,,,,2.154461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,425,0.38579381,0.05405925,0.0599023,11.19762758,20.58983588,99.22350512,0.1140049,,0.12381358,0.028665,0.33648012,3.416974,0.0739003,,0.01156459,0.16783969,0.0525533,,1.117296337,,,0.03173885,,,,,0.0228657,0.0135496,0.00622425,,,0.0173712,,,1.141050392,3.16578,10.3886,,0.327,,,7.051161918,,2.728642,0.0164081,0.557981122,2.36147581,0.1513434,901.4489879,,,1263.720903,,,,4.05648716,,,0.55747863,,2.20668,0.643084,,5.40125,,0.1580692,0.937,,,3.80101,0.5941,0.10148296,,,0.471469,,,,,,,416.2897,,,,,,,,0.481447,,,,0.638817,,,,,0.717807,,,0.02575332,,,,,,,,,,,,0.022,
Armenia,610,4.62354372,0.29022015,0.626443,40.70567368,95.64733197,0.23587389,0.1036084,0.125861,0.00253635,1.32787198,4.17647512,1.262314734,0.056961852,,,,0.087080311,,1.0378653,0.02,0.00194693,,0.38334644,0.01186,,0.19,0.01952891,0.26723598,0.10756264,0.01803634,,0.029354058,15.6267,,0.0116856,27.1913,,,,,,4.208930824,,0.101713,0.0015959,0.141007,1.3998813,,35.74702798,10.0686345,,,,,177.628554,101.3509741,,,0.40969371,,0.32029,0.272213,,29.51256,,0.39901991,1.235,,,,,0.47157707,,1.1991769,0.889456,50.5584818,0.613896,,,,,,,,,,0.57127,2.725201,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, regional",798,4.8809723,4.703278,6.3402396,26.81188627,456.7565609,11.1600695,7.434676,17.980282,0.00563634,38.16833552,6.864367259,139.974295,32.06203931,,0.000652441,0.633141,,,0.128959,55.24677,,,,,,,,,,0.0484726,,,,,413.13365,31.49864,,,,,1.134754,380.4324348,,374.106814,,37.15250939,4.299475803,4.6674694,,,,,,,337.9916815,61.5273991,,,,,5.42604,7.80014,,,,4.18648092,,,,,1.6048,7.75552058,,,,,,,,,,,,0.767557,0,,,1.61429,,18.4039329,,,,0.643025,,,,,3,,1.634541,,,,0.25,1.7402697,2.653,0.1,,,,,,2.646,
Azerbaijan,611,0.675508243,,0.0135966,3.05909767,28.63592843,0.01515835,0.22282375,0.14530058,0.00112727,1.85989001,2.06559866,2.0225677,0.05839254,,,0.0602949,,,0.224771437,10.29,0.000281817,,0.04564843,0.00145,,,1.12064069,0.571166528,0.0381945,,,0.033592599,2.48874,,0.01983757,14.14263,,,0.038,,,49.96970841,,17.327109,0.0092152,0.0352517,3.3945828,,543.054801,61.917227,,,,,355.6812383,24.73342078,,,0.22732962,,0.15301,0.210213,,0.83228,,0.43913748,1.027,,,,,0.34623157,22.3917,,0.807463,319.812407,,,,,,,,,591.384,,0.94003,9.38245,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,666,1.57343877,1.14544701,38.87041283,39.54734369,88.39677877,0.96357444,49.62976945,13.54719936,0.01380905,53.52980503,39.47976261,226.4442622,1.659861338,,2.1939692,3.5593264,,,0.33807357,5.58,0.0338181,,0.2387074,0.13817,,,0.02820213,0.122774,0.0088161,0.0563634,,0.00261526,,,39.01949365,279.44692,18.4840854,5.1559,12.569,0.39412,,1421.650055,,40.799314,0.513285,46.95337733,2.44275272,0.1584482,,1332.207577,,,,,814.3147183,141.4426762,,,4.71123484,,1.26518,0.45093,,13.54421,,7.28984948,21.112,,0.63673,,0.1307,5.15232868,47.19218,,38.23835,,17.98492,,,,,,24.164863,,65.447731,,76.87003,60.323566,,31.04303871,,,,3.91322,,,,,,1.488004,3.260675352,0.54489938,5.753153,,0.25,0.2125,,,,,,,,0.08,
Belarus,86,1.258709671,0.000845451,0.385937,2.01969318,14.55130995,0.40247662,,0.06879058,0.0036129,8.25177081,0.167189926,0.91020448,0.083502361,0.1937782,,,,,0.309672179,0.07,0.0225454,,0.75160226,0.12364,,,0.061946137,33.01416262,0.0146608,0.20741741,0.02954567,1.219377155,2.255,,0.1044905,8.45826,,,0.11,,,0.23451082,,0.356433,,,2.56305454,,159.3686227,,,,,,,39.41944209,,,0.3019306,,0.03467,0.406595,,,,0.42351103,0.867,,,,0.0031,0.29528197,,,,131.234835,,,,,,,,,,,,7.22863,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,352,0.00785706,,,0,0.04967383,,,,,,,0.9595392,,,,,,,0.0805997,,,,0.00855187,,,,,0.00423359,,,,,,,0.270271429,3.38978,2.53486,,0.003,,,1.53034577,0.434,0.183552,0.0074601,0.191294207,0.701464,0.00426318,1.8220858,,27.05832,10.165039,,,,12.0041869,,,0.15195488,,0.10198,0.225138,,7.57546,,0.09800472,0.666,,,1.06677,,,,,0.162582,,,,,,,,,,,,,0.311269,,0.349125,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,236,0.03902607,25.32841242,3.830576335,46.40768289,37.26970959,4.80708957,31.73202371,,,0.7027036,27.17699331,0.4092528,0.00849961,,0.0474504,0.8683093,,,0.232976628,2.2,,,0.00623138,,,,0.000433553,,0.0295938,,,,,0.456559,14.51669926,120.49321,2.8447038,0.18806,0.482,,,20.34877305,,0.017961,0.0295011,0.00585485,4.12533788,,,112.3016692,,,0.01008,69.08699,,84.41088847,,,1.38268465,,0.26688,0.521373,,1.31917,44.1387,3.40234218,8.122,,2.77417,,0.4363,1.44926768,27.8978,,3.65272,,,,,,,,,,,,7.81508,50.5089,,0.768262372,,,,,2.58084,0.673083,,,,,,,,,,,,,,,0.15,,,,
