,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,611,613,701,732,742,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1609,1610,1611,1612,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635
recipient_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,David & Lucile Packard Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation
Afghanistan,625,4.028593381,0.06060902,95.7885639,9.838422175,438.0535402,95.135765,54.9093856,97.77610592,0.97221245,146.3206114,33.8835618,333.4852731,22.8379056,0.5518487,2.327815,2.2998247,,,,1.15001452,32.27386,0.0552343,0.5,2.0917953,0.34497,,0.24,0.016146,0.60984669,0.17404429,1.5213042,,0.00221763,1.02942,,126.6035767,923.5988,0.00157159,,11.586588,11.46868,,4.6816031,188.0259827,,32.483418,75.02522892,3.6883761,0.087751981,,,240.8876099,,,,,219.2964573,460.7457274,,,3.80103795,0.7209,1.104640029,0.217124,0.1306,12.7422,6.80666056,44.805631,,5.41332593,,,3.60019,6.2002,,18.3222,,,,,,,,11.93746,,,,62.37718,19.532088,,12.34105024,,1.956182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa, regional",298,36.5289009,5.8460285,72.19398456,168.3851653,840.0809251,29.71080003,45.7328473,420.2040929,3.8475132,141.027828,26.46828349,981.7121524,55.4031048,,3.4873198,8.5297188,0.295055,,0.265549,25.02062765,4.56319,,,0.00656965,,,,10.08003384,0.3923802,,0.3363629,0.354066,0.25257768,,,418.0473101,1.75,,,,,,,56.48197848,,189.45839,9.01838771,4.0003105,0.783358,,,20.47947827,,,860.2012806,396.7443089,,821.8003792,,,38.86800682,77.1372498,8.964335048,9.06619,39.5437956,,45.24528918,,,,2.04996,0.065453,,,,,,,,,,,,,0.641213,,,,31.264422,,131.0278896,2.36044,,,,,,0.0270813,0.05113,5.238095,,,,,,0.6128,0.5533333,1.4494,,0.845,2.102076,2.9542907,3.799975,,8.527767,12.32154776,,,2.6,,,
Albania,71,9.78071582,0.03298711,3.95506033,5.64968356,85.94239058,24.42836405,0.22438212,0.8113524,0.001052756,11.45580517,22.18927824,1.502139439,0.1168418,,,0.0625356,,1.453916642,0.0022654,0.7258696,4.73536,0.0950627,0.136025,0.2269164,0.32218,,0.04,0.3774401,0.0358263,1.00377,,,,,,0.00790834,21.19586,0.209225,17.1131,7.2410333,9.87318,,,6.133325922,,0.174567,0.0452741,1.4545306,,87.76386714,,1.35543,,,,,,219.2533298,,,0.66106541,0.20563,0.593499696,1.11421,4.01558,,0.44255814,0.9008624,,,0.027781,,0.54661,20.0652,3.104938,,368.586547,,,16.983366,,,,,,,0.0678627,,2.46962,,,,,,,,,0.185058,0.0826154,,,,,,,,,,,,,,,,,,,,,,,
Algeria,130,0.65727211,5.30391173,0.00411816,140.5236561,11.83608356,1.93519942,0.3512086,0.614643,0.225277541,1.79540766,2.7265134,8.82030625,0.171755,,,0.17883866,,0.0856839,0.00236044,6.118310945,1.44007,,,,,,,1.43987264,0.0354433,0.0439131,,,0.00933908,,,0.40092211,2.5237,0.0743548,,2.54119,0.59397,,,1.112861006,,1.608141,0.000995824,0.6854978,0.0110421,,,,,,1.8790937,,,50.46825252,,,1.36924757,0.18571,0.370540556,0.41668,,,0.35000008,1.2024615,,2.51958,3.19305,0.0861982,0.27389,,,,,,,,,,,,,,,,2.22282,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
"America, regional",498,8.0322563,,0.706898,32.93088439,656.039162,12.02941697,2.1748728,60.5096748,1.032888197,0.6070487,5.926099798,14.70024,13.1243,,0.0749794,0.00892192,,,,65.12259339,17.02253,,,,,,,,,,,,0.0130296,0.0575556,,130.5816615,86.54887,,,,,,,10.91983179,,16.669978,1.15355,7.3855464,0.117169,,,,,129.967299,,,,194.077352,,,25.618716,38.4561,9.758661461,,,,1.30137766,2.1663718,,,,0.0338619,,,,,,,,,,,,,0.311932,,,,13.331069,,0.367427,,,,,,,0.5682903,,1.863095,,,,,,4.6,0.025,,,2.450794,0.4778,3.1546667,0.270877,0.652385,2.52075,0.01267173,,,3.13,,,
Angola,225,0.0118022,,0.0880602,6.33100793,4.19119963,3.06161362,0.3479347,6.447356251,4.934021894,0.9991435,0.4619833,0.59848911,,,0.50294,,,,,0.378347973,0.05421,,,0.0460198,0.00019,,,0.264689,0.71425916,0.12276449,,,,0.376923,,,52.73952,0.0309719,,0.08,,,,17.16109702,,11.811293,1.86748E-07,3.2100988,,31.7444308,,35.907955,,,7.14045685,9.30709,,35.43273865,,,3.24365378,0.09589,0.2321081,0.286903,,,1.2137701,6.5831333,,0.452783,5.19977,0.0780718,1.85892,,,2.074498,,,,,,,,2.00095,,,,2.62953,25.23586,,0.926829,0.708132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,377,,,,0.0113938,0.0159759,,,,,,,0.1277149,,,,,,,,,,,,,,,,,,,,,,,,0.161861134,0.0137,0.0160733,,,4.52219,,,2.169074469,,0.092644,0.049365624,0.0526505,,,,,12.3429,,,,,0.7916085,,,0.00526709,0.0083342,0.083881861,0.045583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166667,,,,0.124972,,,,,
Argentina,425,0.57683493,0.026909,0.0474322,22.21403854,26.77144732,4.61438037,0.10964458,,0.13383806,0.00287674,0.5318303,3.167262542,0.0924483,,0.00531099,0.2484547,,,,1.064067694,0.09298,,,0.02084189,,,,0.029035501,0.02034941,0.00770148,,,0.05617728,,,1.067665038,4.54424,4.11619,39.82083,0.0133333,0.17222,0.01,,4.110343903,,2.501131,0.113698072,1.98602793,0.2220843,1251.73951,,,,1406.336259,,,,75.84906202,,,0.45487995,0.09517,2.136176605,0.600796,21.2085,,0.15,1.007739,,,,0.1074544,0.11618,,,5.268283,,,1.58415,,,,,,,,,,,,0.660702,,,,0.034477,,,,,,,0.02667733,,,,0.1714663,,,,0.582,,,,0.78,0.110375,,0.506441,,0.735,,,
