IATI-code,Funder-code,abbreviation,name,notes
AT-1,AT,BMF,Federal Ministry of Finance,
AT-10,AT,BMLFUW,Ministry for Agriculture and Environment,
AT-11,AT,BMLV,Ministry of Defense,
AT-12,AT,BMI,Ministry of Interior,
AT-2,AT,MIN,Various ministries,
AT-3,AT,Breg,Federal Government of Austria,
AT-4,AT,OeKB,Oesterreichische Kontrollbank AG,
AT-5,AT,BMA,Federal Ministry of Foreign Affairs,
AT-6,AT,Reg,"Provincial governments, local communities ",
AT-8,AT,ADA,Austrian Development Agency,
AT-9,AT,BM/BWK,Education and Science Ministry,
AT-99,AT,MISC,Miscellaneous,
AU-5,AU,AusAID,Australian Agency for International Development,
AU-72,AU,EFIC,Export Finance and Insurance Corporation,
XM-DAC-2-10,BE,BDC,Belgium Development Cooperation,added MB 12 June 2017
,,,Belgium Development Agency,"added MB 12 June 2017, removed at their request 3rd July 2017!"
BE-10,BE,DGCD,Directorate General for Co-operation and Development,
BE-20,BE,SPAE,Official Federal Service of Foreign Affairs (excl. DGCD),
BE-30,BE,SPFF,Official Federal Service of Finance,
BE-31,BE,OND,Ducroire National Office,
BE-39,BE,ASPF,Other Official Federal Services,
BE-70,BE,MPRF,Flanders Official Regional Ministries,
BE-80,BE,MPRW,Walloon Official Regional Ministries,
BE-91,BE,MPRB,Brussels Official Regional Ministries,
BE-94,BE,MPRG,German speaking Official Regional Ministries,
CA-1,CA,CIDA,Canadian International Development Agency,
XM-DAC-301-2,CA,IDRC,International Development Research Centre,Updated to XM-DAC-301-2 on 26th Oct 2015
CA-3,CA,EDC,Export Development Corporation,
CA-4,CA,DF,Department of Finance,
CH-1,CH,FA,Federal Administration (various departments),
CH-10,CH,SAEFL,"Swiss Agency for the Environment, Forests and Landscape ",
CH-11,CH,MUNIC,Municipalities,
CH-4,CH,SDC,Swiss Agency for Development and Co-operation,
CH-5,CH,Seco,State Secretariat for Economic Affairs,
CH-6,CH,DFA,Federal Department of Foreign Affairs,
CH-7,CH,SER,State Secretariat for Education and Research,
CH-8,CH,FOM,Federal Office for Migration,
CH-9,CH,DDPS,"Federal Department for Defence, Civil Protection and Sports ",
DE-1,DE,BMZ,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,
DE-11,DE,F O,Foreign Office,
DE-12,DE,L G,Federal States and Local Governments,
DE-14,DE,Fed Inst,Federal Institutions,
DE-16,DE,Fed Min,Federal Ministries,
DE-17,DE,Found,Foundations/Societies/Misc. (non federal),
DE-2,DE,KFW,Kreditanstalt für Wiederaufbau,
DE-34,DE,HERMES,Hermes Kreditversicherungs-AG,
DE-4,DE,DEG,German Investment and Development Company,
DE-52,DE,GTZ,Deutsche Gesellschaft für Technische Zusammenarbeit,
DK-1,DK,MFA,Ministry of Foreign Affairs,
DK-2,DK,DANIDA,Danish International Development Agency (Not in CRS Directives),
DK-4,DK,DANCED,Not in CRS Directives,
DK-72,DK,EKR,EKR,
ES-1,ES,ICO,Instituto de Credito Oficial,
ES-10,ES,ENV,Ministry of Environment,
ES-11,ES,MOH,Ministry of Health,
ES-12,ES,EMP,Ministry of Labour and Social Affairs,
ES-13,ES,INT,Ministry of Interior,
ES-14,ES,MPA,Ministry of Public Administration,
ES-15,ES,CESCE,Compania Espanola de Seguros de Credito a la Exportación,
ES-16,ES,MUNIC,Municipalities,
ES-17,ES,MISC,Miscellaneous,
ES-18,ES,MST,Ministry of Science and Technology,
ES-19,ES,DEF,Ministry of Defense,
ES-2,ES,AG,Autonomous Governments,
ES-4,ES,AGR,"Ministry of Agriculture, Fisheries, and Food ",
ES-DIR3-E04585801,ES,MFA,Ministry of Foreign Affairs,Changed from ES-5 12th Feb 2014
ES-6,ES,ECON,Ministry of Economy and Finance,
