currency code,Currency,Orig Currency name format,,
USD,US Dollar,U.S. dollar,,
EUR,Euro,euro,,
GBP,UK Pound Sterling,U.K. pound sterling,,
AFN,Afghan Afghani,Afghanistan Afghani,,added 12 feb 2015
DZD,Algerian Dinar,ALGERIAN DINAR,,
AUD,Australian Dollar,Australian dollar,,
BHD,Bahrain Dinar,Bahrain dinar,,
BDT,Bangladeshi Taka,Bangladesh Taka,,
BRL,Brazilian Real,Brazilian real,,
CAD,Canadian Dollar,Canadian dollar,,
CLP,Chilean Peso,Chilean peso,,
CNY,Chinese Yuan,Chinese yuan,,
COP,Colombian Peso,Colombian peso,,
XOF,CFA Franc,CFA Franc,,added 12 Feb 2015
DKK,Danish Krone,Danish krone,,
EGP,Egyptian Pound,Egypt Pound,,added 12 Feb 2015
ETB,Ethiopian Birr,Ethiopia Birr,,
GHS,"Ghanaian Cedi
",Ghana Cedi,,added 10th Mar 2015
GYD,Guyanese Dollar,Guyana Dollar,,added 12 Feb 2015
ISK,Icelandic Krona,Icelandic krona,,
INR,Indian Rupee,Indian rupee,,
IDR,Indonesian Rupiah,Indonesian rupiah,,
IRR,Iranian Rial,Iranian rial,,
IEP,Irish Pound,Irish pound,,
JPY,Japanese Yen,Japanese yen,,
KES,Kenyan Shilling,Kenya Shilling,,
KRW,Korean Won,Korean won,,
KWD,Kuwaiti Dinar,Kuwaiti dinar,,
LYD,Libyan Dinar,Libyan dinar,,
MYR,Malaysian Ringgit,Malaysian ringgit,,
MXN,Mexican Peso,Mexican peso,,
NPR,Nepalese Rupee,Nepalese rupee,,
NZD,New Zealand Dollar,New Zealand dollar,,
NOK,Norwegian Krone,Norwegian krone,,
OMR,Rial Omani,rial Omani,,
PKR,Pakistani Rupee,Pakistani rupee,,
PEN,Peru Nuevo Sol,NUEVO SOL,,
PHP,Philippine Peso,PHILIPPINE PESO,,
PLN,Polish Zloty,Polish zloty,,
QAR,Qatar Riyal,Qatar riyal,,
SAR,Saudi Arabian Riyal,Saudi Arabian riyal,,
SBD,Solomon Islander Dollar,Solomon Islands Dollar,,added 12 Feb 2015
ZAR,South African Rand,South African rand,,
LKR,Sri Lanka Rupee,Sri Lanka rupee,,
SEK,Swedish Krona,Swedish krona,,
CHF,Swiss Franc,Swiss franc,,
SGD,Singapore Dollar,Singapore dollar,,
THB,Thai Baht,Thai baht,,
TTD,Trinidad And Tobago Dollar,Trinidad and Tobago dollar,,
TND,Tunisian Dinar,TUNISIAN DINAR,,
TRY,Turkish Lira,Turkey Lira,,added 26 Feb 2015
AED,UAE Dirham,U.A.E. dirham,,
UGX,Ugandan Shilling,Uganda Shilling,,
UYU,Uruguayan Peso,PESO URUGUAYO,,
VEF,Venezuelan Bolivar,Bolivar Fuerte,,
XDR,IMF special drawing rights,International Monetary Fund (IMF) Special Drawing Rights,,
