year,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BOV,BRL,BSD,BTN,BWP,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,COU,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EEK,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,INR,IQD,IRR,ISK,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,MXN,MXV,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,USN,USS,UYI,UYU,UZS,VEF,VND,VUV,WST,XAF,XCD,XOF,XPF,YER,ZAR,ZMK,ZWL
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16651,,1.38835,,,,,,,,,,,,6.18492,,,,,,,,,,0.56308,,,,,,,,7.789,,,,,,,,144.72186,,,,,144.72186,,,,,,,0.28999,,,,,,,,,,,,,,,,,,,,,,2838.98445,,2.70349,,,,,6.25687,,1.67552,,,,,,,,,,,,,,3.74998,,,,5.9145,1.77556,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2.58739,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14572,,1.43471,,,,,,,,,,,,6.39808,,,,,,,,,,0.56724,,,,,,,,7.77037,,,,,,,,134.48329,,,,,134.48329,,,,,,,0.289,,,,,,,,,,,,,,,,,,,,,,3018.86312,,2.74893,,,,,6.48894,,1.72845,,,,,,,,,,,,,,3.75007,,,,6.04844,1.72703,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2.76169,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20809,,1.40541,,,,,,,,,,,,6.03426,,,,,,,,,,0.56957,,,,,,,,7.7396,,,,,,,,126.60525,,,,,126.60525,,,,,,,0.29335,,,,,,,,,,,,,,,,,,,,,,3093.66978,,2.54656,,,,,6.21318,,1.85725,,,,,,,,,,,,,,3.74996,,,,5.82552,1.62858,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2.85123,,
1993,3.67247,,,,,,,1.49392,,,,,,,0.37696,,,,,,,,,2.53669,,,1.28956,,1.47727,,418.5125,5.79338,,,,,,,,170,6.4822,,23.93656,,3.36237,,4.93,,,,0.6659,,,,,,,,7.73498,,,,,2100.73343,2.934,31.36756,111.09989,1583,,,0.7002,111.09989,68.518,,,,,808.22286,0.30146,,,,1714.53214,,,,,,,,,,,,,,123.41559,18.45199,,4.43743,28.72281,,2.57296,4.915,,,,7.09502,,1.84855,,,,,27.98929,30.03696,,1792.74286,3.63928,,,,,3.75036,,,,7.78331,1.61513,,,,,,,21,3.36446,25.39058,,,,,0.01393,,26.7505,,,,1,,,,4.37325,,,,,,,,,,,3.2678,,
1994,3.6725,,,,,,,1.36735,,,,,,,0.377,257.56602,,,,,,,,2.6682,,,1.36569,,1.3667,,419.81014,8.56513,,,,1,,,,172.59041,6.35543,,24.24251,,3.38133,,5.223,,,,0.65325,,,,9.69413,,,,7.72824,,,,,2159.62575,2.99441,31.3705,72.79619,1583,,,0.69768,102.17163,55.79184,,,,,803.59904,0.29751,,,,1679.01918,,,,,,,9.08574,,,,,,,122.43355,18.01115,,4.45227,3.36858,,2.62176,4.915,,21.7761,,7.05618,,1.68497,,,,,26.28768,30.53458,,1793,3.63913,,,,,3.75026,,4.97,,7.7141,1.52671,,577,,,,,22.77671,3.54801,25.1436,,,,,0.03014,,26.44764,516.40162,,,1,,,,5.00592,,,,,,544.65818,,,,,3.5488,682.45,
1995,3.67246,3756.74909,91.78697,,1.7822,453417.54545,0.99988,1.34919,1.79,,,2.0113,40.62887,69.60113,0.37699,248.63259,1,1.39991,4.79773,,0.96469,1,32.75316,2.75366,,2,1.37191,,1.18125,,396.48692,8.35051,993.44162,,178.6281,1,1,73.91,26.38554,171.73973,5.60223,13.74702,28.40345,11.40986,3.39917,,5.71537,,1.42044,0.62473,0.63345,,,0.62456,9.66479,1008.4886,5.77761,142.50579,7.7352,9.25388,5.28002,19,133.89183,2243.70586,3.00829,32.40712,263.22648,1583,64.85261,33.51612,0.69989,94.00318,51.37055,,2220,367.27839,2.15,771.2263,0.29841,0.82943,63.45592,781.09091,1620.41718,53.16007,1,3.65203,3.99694,0.53522,0.3555,8.425,,,,5.45387,427.73636,7.98822,129.06733,17.72553,14.22818,6.07162,6.22579,,2.50737,4.915,3.65244,31.24444,7.50951,6.33474,50.41281,1.5232,,1,2.30657,0.78748,25.62491,31.60821,2.48266,1793,3.63941,0.24836,1.66534,4575.15714,,3.75029,3.3571,4.97,,7.13103,1.41667,1.59963,614.68767,2620,0.42687,1572.55442,8.75293,41.42493,3.62663,24.91066,,,,1.3412,0.04592,5.69908,26.48227,559.47945,,1027.38571,1,,,,6.29147,,,11031.28512,112.56972,2.48406,498.92199,,489.28599,,,3.62704,867.62286,
1996,3.67251,4750.19126,100.08798,,1.79,5635,0.99984,1.27728,1.79,,,2.0113,41.69822,177.63016,0.37695,299.4769,1,1.40934,5.08728,,1.00463,1,35.78851,3.30815,,2.00003,1.36318,,1.23574,,412.02735,8.31416,1035.75376,,207.05236,1,3.30055,73.91,27.12347,160,5.79763,13.80184,54.72685,11.89244,3.3949,,5.83867,,1.39996,0.64183,0.6407,,,0.64445,9.86685,993.26503,6.0796,139.15902,7.73391,10.78552,5.38895,16.27706,149.39246,2327.33145,3.18566,35.3799,108.75179,1583,66.50321,36.32944,0.70878,108.75179,57.05869,,2300,382.19887,2.15,804.6291,0.29937,0.82839,67.77276,920,1569.82238,55.22561,1,4.29514,3.99706,0.54712,0.3555,8.67748,,,,5.87223,466.09683,7.98997,136.19545,19.63302,11.77,15.18203,7.59364,,2.51506,10.24854,4.28161,81.14891,8.41406,6.45516,55.20205,1.45365,,1,2.44778,1.3142,26.20456,35.99843,2.69585,2038.62978,3.63986,0.31135,4.92146,5131.61749,,3.75028,3.50634,4.97025,,6.70311,1.4093,1.55351,683.31967,2620,0.438,1933.05216,8.75511,41.94735,4.28557,25.34792,,,0.97381,1.22845,0.0817,5.78806,27.45216,593.43169,,1038.65301,1,,,,7.92184,,,11029.93033,111.18555,2.4596,510.33187,,507.79699,,,4.29621,1206.01954,
1997,3.67239,4750,144.92863,,1.79,123023.88767,0.99981,1.34791,1.79,,,2.0113,43.79562,1636.0637,0.37699,320.37,1,1.4761,5.2631,,1.07764,1,36.14151,3.63535,,2,1.38433,,1.44959,,419.15237,8.28978,1141.76318,,232.1873,1,20.93425,89.12794,31.71378,161.63836,6.60152,14.16085,57.70069,13.86285,3.39129,,6.50032,,1.43756,0.61212,0.61026,,,0.60916,10.18713,1069.03885,6.05423,141.80249,7.74203,12.88729,6.123,16.14035,186.79671,2889.97334,3.44457,36.29446,1084.45159,2398.03836,70.7943,34.31195,0.70832,120.96862,58.55149,,2750.0137,433.64218,2.18151,952.7711,0.3033,0.82816,75.55436,969.5726,1537.59649,58.89084,1,4.60406,3.99801,0.57828,0.3555,9.49602,,,,6.22115,514.2037,7.99394,150.8257,20.97559,11.77,16.18935,7.91459,,2.81501,11.27955,4.60404,81.46987,9.4283,7.07336,56.92689,1.51323,,1,2.65878,1.42421,29.53438,41.07714,3.2785,2165.20548,3.64002,0.71205,4.9991,5784.854,,3.75031,3.64705,5.03477,,7.63005,1.48471,1.64043,784.00822,2620,0.4083,2100.86205,8.75501,41.89411,4.60697,31.04492,,,1.09765,1.25962,0.15258,6.13924,28.68653,604.89073,1.86479,1072.85616,1,,,,9.39226,,,11696.83836,115.32786,2.53901,582.16849,,578.06266,,,4.6072,1315.37534,
1998,3.67267,4750,149.15282,,1.79,196916,0.99974,1.59118,1.79,,,2.0113,46.75433,1751.59567,0.377,369.24593,1,1.68017,5.51805,,1.16018,1,41.34559,4.21658,,2,1.48296,,1.44898,,460.1411,8.27891,1426.34433,,256.56919,1,23,99.12713,32.23272,168.74899,6.69871,15.19178,58.70674,14.07334,3.40655,,6.9759,0.85355,1.95747,0.60244,0.60338,,,0.6037,10.63033,1224.6094,6.36989,145.45808,7.74574,13.40381,6.34627,16.94825,214.3633,10102.64247,3.79504,41.23061,1200,1750.53836,71.10842,35.79781,0.70893,130.80699,60.26749,,3748.27671,444.52892,2.2,1397.91096,0.30467,0.8284,78.5567,2469.53425,1515.13548,64.73688,18.73699,5.49631,3.99941,0.58821,0.35912,9.58637,,,,6.2517,819.41082,8.0017,186.61684,23.90637,11.77,31.05334,9.14175,,3.91436,11.77666,5.52465,85.54518,10.56522,7.54383,61.62123,1.86656,,1,2.92581,2.0712,40.80573,48.63593,3.48975,2691.5589,3.6401,0.8864,8.98995,10.01829,,3.75056,4.39126,5.25554,,7.94518,1.67102,1.65879,903.04795,2620,0.401,2390,8.75378,41.84863,5.50142,41.17208,,,1.13571,1.45165,0.26188,6.2279,33.4291,650.9404,2.59064,1229.80027,1,,,,10.40544,,,13261.13699,127.2281,2.92784,589.26658,,588.57092,,,5.53396,1858.7274,
1999,3.67275,4710.73449,136.2543,,1.77675,193139.63516,0.99981,1.54929,1.77373,,,1.98459,48.89397,1846.87101,0.37701,441.36973,0.99802,1.69402,5.78907,,1.80986,0.9989,42.99353,4.61263,,1.98584,1.48494,,1.5024,,508.78822,8.27609,1755.962,,284.45707,1,11.96986,103.26356,34.60057,172.03373,6.97986,15.88795,66.49378,14.68626,3.41281,,7.8128,0.93872,1.96596,0.61699,0.61825,,,0.61707,11.32304,1335.78501,7.33399,166.93912,7.75862,14.24133,7.09274,16.80795,237.18927,7817.46027,4.13594,43.03643,1206.9863,1750.30685,72.37353,38.29273,0.70904,113.74442,70.23332,,3795.85795,456.2606,2.2,1188.86849,0.30427,0.81539,119.58649,5497.80822,1503.65622,70.6346,35.76327,6.19647,4,0.58685,0.45681,9.78206,,,,6.11776,990.84033,7.99171,211.59016,25.09914,11.41222,43.78132,9.54309,,3.79927,12.48503,6.0949,95.135,11.78,7.79757,67.89104,1.88944,,1,3.37905,2.56927,39.06668,51.3309,3.96404,3113.61644,3.64026,1.53334,10.91906,24.8259,,3.75025,4.85491,5.33231,,8.26287,1.69416,1.61989,897.17205,2588.70532,0.63628,2355.19641,8.72077,42.12243,6.13534,37.82053,,,1.18353,1.5073,0.42015,6.20346,32.22361,736.90068,4.29909,1454.33836,1,,,,11.21321,,,13940.56301,128.70504,3.02249,615.29749,4.08468,614.39277,123.40372,,6.10686,2469.93093,
