"year","AED","AFN","ALL","AMD","ANG","AOA","ARS","AUD","AWG","AZN","BAM","BBD","BDT","BGN","BHD","BIF","BMD","BND","BOB","BRL","BSD","BTN","BWP","BYR","BZD","CAD","CDF","CHF","CLP","CNY","COP","CRC","CUC","CUP","CVE","CZK","DJF","DKK","DOP","DZD","EEK","EGP","ERN","ETB","EUR","FJD","FKP","GBP","GEL","GHS","GIP","GMD","GNF","GTQ","GYD","HKD","HNL","HRK","HTG","HUF","IDR","ILS","INR","IQD","IRR","ISK","JMD","JOD","JPY","KES","KGS","KHR","KMF","KPW","KRW","KWD","KYD","KZT","LAK","LBP","LKR","LRD","LSL","LTL","LVL","LYD","MAD","MDL","MGA","MKD","MMK","MNT","MOP","MRO","MUR","MVR","MWK","MXN","MYR","MZN","NAD","NGN","NIO","NOK","NPR","NZD","OMR","PAB","PEN","PGK","PHP","PKR","PLN","PYG","QAR","RON","RSD","RUB","RWF","SAR","SBD","SCR","SDG","SEK","SGD","SHP","SLL","SOS","SRD","STD","SVC","SYP","SZL","THB","TJS","TMT","TND","TOP","TRY","TTD","TWD","TZS","UAH","UGX","USD","UYU","UZS","VEF","VND","VUV","WST","XAF","XCD","XDR","XOF","XPF","YER","ZAR","ZMK"
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,1.16651,,1.38835,,,,,,,,,,6.18492,,,,,,,,,,0.56308,,,,,,,,7.789,,,,,,,,144.72186,,,,,144.72186,,,,,,,0.28999,,,,,,,,,,,,,,,,,,,,,,2838.98445,2.70349,,,,,6.25687,,1.67552,,,,,,,,,,,,,,3.74998,,,,5.9145,1.77556,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.58739,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,1.14572,,1.43471,,,,,,,,,,6.39808,,,,,,,,,,0.56724,,,,,,,,7.77037,,,,,,,,134.48329,,,,,134.48329,,,,,,,0.289,,,,,,,,,,,,,,,,,,,,,,3018.86312,2.74893,,,,,6.48894,,1.72845,,,,,,,,,,,,,,3.75007,,,,6.04844,1.72703,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.76169,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,1.20809,,1.40541,,,,,,,,,,6.03426,,,,,,,,,,0.56957,,,,,,,,7.7396,,,,,,,,126.60525,,,,,126.60525,,,,,,,0.29335,,,,,,,,,,,,,,,,,,,,,,3093.66978,2.54656,,,,,6.21318,,1.85725,,,,,,,,,,,,,,3.74996,,,,5.82552,1.62858,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.85123,
"1993",3.67247,,,,,,,1.49392,,,,,,,0.37696,,,,,,,,2.53669,,,1.28956,,1.47727,418.5125,5.79338,,,,,,,170,6.4822,,23.93656,,3.36237,,4.93,,,,0.6659,,,,,,,,7.73498,,,,,2100.73343,2.934,31.36756,111.09989,1583,,,0.7002,111.09989,68.518,,,,,808.22286,0.30146,,,,1714.53214,,,,,,,,,,,,,,123.41559,18.45199,,4.43743,28.72281,2.57296,4.915,,,,7.09502,,1.84855,,,,,27.98929,30.03696,,1792.74286,3.63928,,,,,3.75036,,,,7.78331,1.61513,,,,,,,21,3.36446,25.39058,,,,,0.01393,,26.7505,,,,1,4.37325,,,,,,,,,,,,3.2678,
"1994",3.6725,,,,,,,1.36735,,,,,,,0.377,257.56602,,,,,,,2.6682,,,1.36569,,1.3667,419.81014,8.56513,,,1,,,,172.59041,6.35543,,24.24251,,3.38133,,5.223,,,,0.65325,,,,9.69413,,,,7.72824,,,,,2159.62575,2.99441,31.3705,72.79619,1583,,,0.69768,102.17163,55.79184,,,,,803.59904,0.29751,,,,1679.01918,,,,,,,9.08574,,,,,,,122.43355,18.01115,,4.45227,3.36858,2.62176,4.915,,21.7761,,7.05618,,1.68497,,,,,26.28768,30.53458,,1793,3.63913,,,,,3.75026,,4.97,,7.7141,1.52671,,577,,,,,22.77671,3.54801,25.1436,,,,,0.03014,,26.44764,516.40162,,,1,5.00592,,,,,,544.65818,,,,,,3.5488,682.45
"1995",3.6713265706203497,3756.74909,91.78697,,1.7822,453417.5455,0.99988,1.347512778453239,1.79,,,2.0113,40.62887,69.60113,0.37603341941681695,248.63259,1,1.39991,4.79773,0.9136353225261187,1,32.75316,2.75366,,2,1.3721794171987345,,1.1805963979325047,400.0586492898186,8.428602231743511,910.994244387327,178.6281,1,1,73.91,26.38554,171.73973,5.598059317949708,13.74702,28.40345,11.40986,3.39917,,5.71537,,1.42044,0.62473,0.6334414506131252,,,0.62456,9.66479,1008.4886,5.77761,142.50579,7.7352,9.25388,5.28002,19,133.89183,2247.5609872477785,3.00829,32.36998110743115,263.22648,1748.2126774602673,64.74025925234218,33.51612,0.69989,93.57447992697323,51.37055,,2220,367.27839,2.15,770.9404664733581,0.29845335256021793,0.82943,63.45592,781.09091,1620.41718,51.241171836596905,1,3.65203,3.99694,0.53522,0.3461667947667937,8.425,,,,5.45387,427.73636,7.98822,129.06733,17.72553,14.22818,6.07162,6.618532321528952,2.507317070640406,4.915,3.65244,31.24444,7.50951,6.328815894556701,51.812664228204056,1.5234599092928478,0.38453416107748034,1,2.30657,0.78748,26.17340035593076,31.669891517906102,2.412677532550695,1793,3.640323596694263,0.24836,1.66534,4575.15714,,3.745332445729548,3.3571,4.97,,7.119540858708093,1.4168993967167942,1.59963,614.68767,2620,0.42687,1572.55442,8.75293,41.42493,3.62663,24.907492208508607,,,,1.3412,0.04592,5.888665800654835,26.48227,559.47945,,1027.38571,1,6.29147,,,11031.28512,112.56972,2.48406,498.92199,,0.6593646640000004,489.28599,,,3.625125178218946,867.62286
"1996",3.6711879176218636,4750.19126,100.08798,,1.79,5635,0.99984,1.2768102787466942,1.79,,,2.0113,41.69822,177.63016,0.3760192432492758,299.4769,1,1.40934,5.08728,1.0037776439187085,1,35.78851,3.30815,,2.00003,1.3635933335108519,,1.2343422311348788,413.5013046616256,8.315630097422476,1035.826908285463,207.05236,1,3.30055,73.91,27.12347,160,5.795036698661865,13.80184,54.72685,11.89244,3.3949,,5.83867,,1.39996,0.64183,0.6402099208092901,,,0.64445,9.86685,993.26503,6.0796,139.15902,7.73391,10.78552,5.38895,16.27706,149.39246,2337.3972465350844,3.18566,35.41770262621604,108.75179,1750.7732254487319,66.67751636602549,36.32944,0.70878,108.74004905202297,57.05869,,2300,382.19887,2.15,803.8390155732051,0.29935703629554355,0.82839,67.77276,920,1569.82238,55.29299358368902,1,4.29514,3.99706,0.54712,0.3616470262303586,8.67748,,,,5.87223,466.09683,7.98997,136.19545,19.63302,11.77,15.18203,7.641094584657489,2.51394906453536,10.24854,4.28161,81.14891,8.41406,6.454049829414989,56.68316316963559,1.454274961044986,0.38451976049218645,1,2.44778,1.3142,26.194510307815673,36.06388484586996,2.720464236540275,2038.62978,3.6401865546338086,0.31135,4.92146,5131.61749,,3.7451919868147394,3.50634,4.97025,,6.701664002342979,1.4098896633304125,1.55351,683.31967,2620,0.438,1933.05216,8.75511,41.94735,4.28557,25.34537684456607,,,0.97381,1.22845,0.0817,5.986779211925228,27.45216,593.43169,,1038.65301,1,7.92184,,,11029.93033,111.18555,2.4596,510.33187,,0.6888507896825404,507.79699,,,4.267711341194453,1206.01954
"1997",3.6710305990736707,4750,144.92863,,1.79,123023.8877,0.99981,1.3444902155718668,1.79,,,2.0113,43.79562,1636.0637,0.3759999944315818,320.37,1,1.4761,5.2631,1.0770841461762002,1,36.14151,3.63535,,2,1.3841514082197697,,1.4506255604476306,420.8293384979303,8.292755755768065,1134.7619428601588,232.1873,1,20.93425,89.12794,31.71378,161.63836,6.601274318120131,14.16085,57.70069,13.86285,3.39129,,6.50032,,1.43756,0.61212,0.6105445177185767,,,0.60916,10.18713,1069.03885,6.05423,141.80249,7.74203,12.88729,6.123,16.14035,186.28823300594854,2523.2023054920296,3.44457,36.29094274187106,1084.45159,1753.822447494157,70.95743005028166,34.31195,0.70832,120.6560508902908,58.55149,,2750.0137,433.64218,2.18151,925.8287281027134,0.3033155807700966,0.82816,75.55436,969.5726,1537.59649,58.98223147250598,1,4.60406,3.99801,0.57828,0.38154974630878125,9.49602,,,,6.22115,514.2037,7.99394,150.8257,20.97559,11.77,16.18935,7.954127710482953,2.7687966885408266,11.27955,4.60404,81.46987,9.4283,7.066079972314534,57.945213923188426,1.5090517890803732,0.38450002256472815,1,2.65878,1.42421,29.051137835641807,41.15630127454542,3.313431886572726,2165.20548,3.639999586444628,0.71205,4.9991,5784.854,,3.744999502807714,3.64705,5.03477,,7.6290807782371814,1.481403200159122,1.64043,784.00822,2620,0.4083,2100.86205,8.75501,41.89411,4.60697,30.194611610945845,,,1.09765,1.25962,0.15258,6.249199754655358,28.68653,604.89073,1.86479,1072.85616,1,9.42718692963105,,,11696.83836,115.32786,2.53901,582.16849,,0.7267606947791169,578.06266,,,4.606141501098945,1315.37534
"1998",3.672482445370216,4750,149.15282,,1.79,196916,0.99974,1.588614432365017,1.79,,,2.0113,46.75433,1751.59567,0.37599822582146897,369.24593,1,1.6931977386591304,5.51805,1.159109407172972,1,41.34559,0.2284608852436787,,2,1.480165262477543,,1.4475030452494813,475.74910317814437,8.323179988232635,1419.4636330716323,256.56919,1,23,99.12713,32.23272,168.74899,6.692647688598794,15.19178,58.70674,14.07334,3.40655,,6.9759,0.8814194334051448,1.95747,0.60244,0.6037803059251334,,,0.6037,10.63033,1224.6094,6.36989,145.45808,7.74574,13.40381,6.34627,16.94825,214.3633,10978.508815686147,3.79504,41.21921398812292,1200,1749.9937982794177,71.14793412717336,35.79781,0.70893,130.4754907875219,60.26749,,3748.27671,444.52892,2.2,1385.4893022573212,0.3048569743804185,0.8284,78.5567,2469.53425,1515.13548,64.57859111149668,18.73699,5.49631,3.99941,0.58821,0.38710427380282386,9.58637,,,,6.2517,819.41082,8.0017,186.61684,23.90637,11.77,31.05334,8.525974914703069,3.910037017391224,11.77666,5.52465,85.54518,10.56522,7.541360998565873,65.90311524059196,1.8625302684278489,0.38449816998670155,1,2.92581,2.0712,39.90940034284621,45.15894108823632,3.473184234451108,2691.5589,3.6399826710332235,0.8864,8.98995,6.762507418258973,,3.744981758969913,4.39126,5.25554,,7.951373925871728,1.6720033247547423,1.65879,903.04795,2620,0.401,2390,8.75378,41.84863,5.50142,41.114865676195485,,,1.13571,1.45165,0.26188,6.278432591339922,33.4291,650.9404,2.59064,1229.80027,1,10.40544,,,13261.13699,127.2281,2.92784,589.26658,,0.7373408047808763,588.57092,,,5.480235374585423,1858.7274
"1999",3.672500198219093,4710.73449,136.2543,,1.77675,193139.6352,0.99981,1.5493389136698819,1.77373,,,1.98459,48.89397,1846.87101,0.376000037121016,441.36973,0.99802,1.6897475998651812,5.78907,1.7951338379740862,0.9989,42.99353,0.9033774975459409,,1.98584,1.4859314565512998,,1.5016133006344665,486.8485216643539,8.269854583994773,1748.531745834525,284.45707,1,11.96986,103.26356,34.60057,172.03373,6.973894793517826,15.88795,66.49378,14.68626,3.41281,,7.8128,0.9381872700549944,1.96596,0.61699,0.6181487216775012,,,0.61707,11.32304,1335.78501,7.33399,166.93912,7.75862,14.24133,7.09274,16.80795,244.35740765406237,7817.46027,4.13594,43.0575080881455,1206.9863,1752.5541354312834,72.40286908037217,38.29273,0.70904,113.55454925006187,70.23332,,3795.85795,456.2606,2.2,1188.1545487668682,0.3043453615973047,0.81539,119.58649,5497.80822,1503.65622,70.39560918666298,35.76327,6.19647,4,0.58685,0.46388163933931226,9.78206,,,,6.11776,990.84033,7.99171,211.59016,25.09914,11.41222,43.78132,9.54309,3.8000002226219385,12.48503,6.0949,95.135,11.78,7.80307695832555,68.23377214869943,1.8903588900972506,0.3845000595995844,1,3.37905,2.56927,39.06668,49.194034189511385,3.96404,3113.61644,3.6400000039490417,1.53334,10.91906,24.8259,,3.745000229455604,4.85491,5.33231,,8.261033241043389,1.6947286644161665,1.61989,897.17205,2588.70532,0.63628,2355.19641,8.72077,42.12243,6.13534,37.829056550981235,,,1.18353,1.5073,0.42015,6.272322943918914,32.22361,736.90068,4.29909,1454.33836,1,11.21321,,,13940.56301,128.70504,3.02249,615.29749,4.08468,0.7315413452380947,614.39277,123.40372,,6.1149476569956756,2469.93093
